date,tokenproduced,tokenconsumed,tokenleft,WaitingTime,Count
2018-01-08,2,0,2,0 days 19:34:00,2
2018-01-09,1,0,3,3 days 04:38:00,3
2018-01-10,1,0,4,6 days 19:14:00,4
2018-01-11,2,0,6,11 days 17:47:00,6
2018-01-12,1,0,7,18 days 08:05:00,7
2018-01-13,0,0,7,25 days 08:05:00,7
2018-01-14,0,0,7,32 days 08:05:00,7
2018-01-15,0,0,7,39 days 08:05:00,7
2018-01-16,2,0,9,47 days 05:35:00,9
2018-01-17,0,0,9,56 days 05:35:00,9
2018-01-18,2,1,10,65 days 22:27:00,11
2018-01-19,0,0,10,65 days 19:11:00,10
2018-01-20,0,0,10,75 days 19:11:00,10
2018-01-21,0,0,10,85 days 19:11:00,10
2018-01-22,4,0,14,98 days 06:13:00,14
2018-01-23,3,0,17,113 days 20:22:00,17
2018-01-24,3,0,20,132 days 11:05:00,20
2018-01-25,0,0,20,152 days 11:05:00,20
2018-01-26,1,0,21,172 days 21:39:00,21
2018-01-27,0,0,21,193 days 21:39:00,21
2018-01-28,0,0,21,214 days 21:39:00,21
2018-01-29,1,0,22,236 days 10:58:00,22
2018-01-30,2,0,24,259 days 06:30:00,24
2018-01-31,1,0,25,283 days 20:36:00,25
2018-02-01,6,2,29,310 days 12:59:00,31
2018-02-02,2,0,31,296 days 17:41:00,31
2018-02-03,0,0,31,327 days 17:41:00,31
2018-02-04,0,0,31,358 days 17:41:00,31
2018-02-05,4,1,34,391 days 08:12:00,35
2018-02-06,1,0,35,425 days 14:01:00,35
2018-02-07,6,2,39,463 days 00:00:00,41
2018-02-08,1,0,40,496 days 22:33:00,40
2018-02-09,2,0,42,538 days 02:21:00,42
2018-02-10,4,0,46,582 days 19:12:00,46
2018-02-11,0,0,46,628 days 19:12:00,46
2018-02-12,3,1,48,675 days 23:15:00,49
2018-02-13,2,0,50,724 days 11:03:00,50
2018-02-14,1,1,50,774 days 16:42:00,51
2018-02-15,3,1,52,820 days 12:39:00,53
2018-02-16,6,0,58,861 days 05:32:00,58
2018-02-17,5,0,63,923 days 00:19:00,63
2018-02-18,0,0,63,986 days 00:19:00,63
