date,tokenproduced,tokenconsumed,tokenleft,WaitingTime,Count
2018-01-03,7,0,7,1 days 18:44:00,7
2018-01-04,19,6,20,9 days 16:14:00,26
2018-01-05,28,25,23,31 days 00:35:00,48
2018-01-06,0,0,23,40 days 21:26:00,23
2018-01-07,0,0,23,63 days 21:26:00,23
2018-01-08,153,74,102,118 days 17:22:00,176
2018-01-09,75,35,142,215 days 03:34:00,177
2018-01-10,248,119,271,362 days 10:24:00,390
2018-01-11,180,153,298,505 days 20:19:00,451
2018-01-12,288,184,402,701 days 02:44:00,586
2018-01-13,0,0,402,955 days 09:00:00,402
2018-01-14,0,0,402,1357 days 09:00:00,402
2018-01-15,180,121,461,1759 days 04:54:00,582
2018-01-16,260,129,592,1857 days 08:16:00,721
2018-01-17,420,158,854,2294 days 01:20:00,1012
2018-01-18,292,129,1017,2987 days 01:20:00,1146
2018-01-19,397,119,1295,4020 days 03:01:00,1414
2018-01-20,0,0,1295,5141 days 21:56:00,1295
2018-01-21,1,0,1296,6436 days 22:57:00,1296
2018-01-22,319,316,1299,7683 days 02:55:00,1615
2018-01-23,449,363,1385,7584 days 09:39:00,1748
2018-01-24,328,245,1468,7001 days 21:36:00,1713
2018-01-25,349,257,1560,7807 days 14:41:00,1817
2018-01-26,377,195,1742,9070 days 12:17:00,1937
2018-01-27,23,0,1765,10190 days 18:43:00,1765
2018-01-28,1,0,1766,11955 days 19:44:00,1766
2018-01-29,524,102,2188,13858 days 17:54:00,2290
2018-01-30,454,238,2404,15630 days 18:41:00,2642
2018-01-31,798,304,2898,17508 days 08:46:00,3202
2018-02-01,368,478,2788,18808 days 20:26:00,3266
2018-02-02,432,256,2964,19468 days 06:20:00,3220
2018-02-03,0,0,2964,20808 days 23:41:00,2964
2018-02-04,0,0,2964,23772 days 23:41:00,2964
2018-02-05,340,239,3065,26740 days 08:47:00,3304
2018-02-06,448,222,3291,27429 days 06:45:00,3513
2018-02-07,564,289,3566,29194 days 10:38:00,3855
2018-02-08,411,206,3771,30549 days 20:31:00,3977
2018-02-09,600,426,3945,31726 days 17:59:00,4371
2018-02-10,1,903,3043,34073 days 22:23:00,3946
2018-02-11,1,0,3044,30464 days 04:18:00,3044
2018-02-12,444,184,3304,33579 days 09:34:00,3488
2018-02-13,579,285,3598,34892 days 09:19:00,3883
2018-02-14,760,416,3942,35739 days 23:22:00,4358
2018-02-15,462,385,4019,35890 days 03:00:00,4404
2018-02-16,425,390,4054,36555 days 04:32:00,4444
2018-02-17,6,486,3574,38877 days 04:32:00,4060
2018-02-18,1,0,3575,39897 days 05:48:00,3575
2018-02-19,491,208,3858,43504 days 07:23:00,4066
2018-02-20,488,230,4116,45159 days 00:38:00,4346
2018-02-21,617,269,4464,47771 days 20:46:00,4733
2018-02-22,516,315,4665,49873 days 10:27:00,4980
2018-02-23,489,365,4789,52614 days 04:40:00,5154
2018-02-24,2,615,4176,54062 days 17:45:00,4791
2018-02-25,0,0,4176,55009 days 09:09:00,4176
2018-02-26,557,156,4577,59272 days 12:22:00,4733
2018-02-27,738,448,4867,61719 days 14:07:00,5315
2018-02-28,831,300,5398,64433 days 16:57:00,5698
2018-03-01,440,185,5653,67879 days 08:12:00,5838
2018-03-02,576,3,6226,73625 days 02:17:00,6229
2018-03-03,11,0,6237,79852 days 23:04:00,6237
2018-03-04,2,0,6239,86090 days 01:06:00,6239
2018-03-05,357,269,6327,92367 days 22:49:00,6596
2018-03-06,765,360,6732,95629 days 23:18:00,7092
2018-03-07,526,344,6914,99354 days 03:01:00,7258
2018-03-08,388,434,6868,100615 days 18:03:00,7302
2018-03-09,554,383,7039,99385 days 18:23:00,7422
2018-03-10,4,1262,5781,99647 days 13:47:00,7043
2018-03-11,0,0,5781,94935 days 23:09:00,5781
2018-03-12,536,306,6011,100711 days 04:09:00,6317
2018-03-13,572,399,6184,100757 days 04:26:00,6583
2018-03-14,617,1061,5740,100669 days 13:00:00,6801
2018-03-15,534,489,5785,91598 days 17:10:00,6274
2018-03-16,582,575,5792,90499 days 08:46:00,6367
2018-03-17,4,550,5246,91927 days 22:25:00,5796
2018-03-18,1,0,5247,92673 days 15:26:00,5247
2018-03-19,564,461,5350,97903 days 13:40:00,5811
2018-03-20,567,735,5182,92066 days 11:07:00,5917
2018-03-21,590,721,5051,88941 days 09:06:00,5772
2018-03-22,458,996,4513,81136 days 00:41:00,5509
2018-03-23,399,634,4278,77021 days 16:30:00,4912
2018-03-24,1,214,4065,74196 days 16:16:00,4279
2018-03-25,4,0,4069,77156 days 22:22:00,4069
2018-03-26,631,591,4109,81230 days 13:14:00,4700
2018-03-27,503,519,4093,79457 days 09:51:00,4612
2018-03-28,590,431,4252,77973 days 04:40:00,4683
2018-03-29,626,580,4298,78665 days 13:00:00,4878
2018-03-30,375,604,4069,80202 days 04:17:00,4673
2018-03-31,127,0,4196,80932 days 18:49:00,4196
2018-04-01,9,0,4205,85130 days 19:57:00,4205
2018-04-02,9,0,4214,89340 days 17:16:00,4214
2018-04-03,421,481,4154,93520 days 13:56:00,4635
2018-04-04,451,241,4364,90219 days 16:16:00,4605
2018-04-05,513,298,4579,92694 days 21:09:00,4877
2018-04-06,561,502,4638,92904 days 07:48:00,5140
2018-04-07,15,0,4653,92955 days 15:57:00,4653
2018-04-08,7,0,4660,97609 days 06:04:00,4660
2018-04-09,693,256,5097,102376 days 09:38:00,5353
2018-04-10,480,521,5056,106042 days 06:46:00,5577
2018-04-11,441,408,5089,106994,5497
2018-04-12,573,481,5181,108675,5662
2018-04-13,676,420,5437,110726,5857
2018-04-14,1,0,5438,114465,5438
2018-04-15,0,0,5438,119885,5438
2018-04-16,493,410,5521,125283,5931
2018-04-17,552,709,5364,128115,6073
2018-04-18,871,323,5912,122173,6235
2018-04-19,478,632,5758,124566,6390
2018-04-20,545,520,5783,121013,6303
2018-04-21,0,0,5783,117673,5783
2018-04-22,1,0,5784,123422,5784
2018-04-23,464,285,5963,129217,6248
2018-04-24,821,293,6491,132484,6784
2018-04-25,483,457,6517,136288,6974
2018-04-26,502,263,6756,139910,7019
2018-04-27,545,337,6964,145479,7301
2018-04-28,3,0,6967,150976,6967
2018-04-29,0,0,6967,157883,6967
2018-04-30,766,664,7069,164710,7733
2018-05-01,309,284,7094,163160,7378
2018-05-02,396,470,7020,164936,7490
2018-05-03,510,258,7272,165770,7530
2018-05-04,589,469,7392,170523,7861
2018-05-05,25,0,7417,162195,7417
2018-05-06,0,0,7417,169581,7417
2018-05-07,631,275,7773,177060,8048
2018-05-08,413,363,7823,182998,8186
2018-05-09,579,698,7704,184082,8402
2018-05-10,90,726,7068,175998,7794
2018-05-11,647,673,7042,167317,7715
2018-05-12,30,0,7072,167693,7072
2018-05-13,0,0,7072,174689,7072
2018-05-14,534,436,7170,181641,7606
2018-05-15,589,617,7142,183376,7759
2018-05-16,652,494,7300,179880,7794
2018-05-17,521,344,7477,183019,7821
2018-05-18,774,526,7725,180737,8251
2018-05-19,7,0,7732,179144,7732
2018-05-20,13,0,7745,186758,7745
2018-05-21,139,650,7234,194171,7884
2018-05-22,599,469,7364,186773,7833
2018-05-23,611,681,7294,187064,7975
2018-05-24,632,491,7435,172210,7926
2018-05-25,558,562,7431,173801,7993
2018-05-26,45,0,7476,172881,7476
2018-05-27,0,0,7476,180258,7476
2018-05-28,656,436,7696,187656,8132
2018-05-29,473,636,7533,186012,8169
2018-05-30,653,210,7976,188529,8186
2018-05-31,1089,499,8566,193941,9065
2018-06-01,477,282,8761,196546,9043
2018-06-02,1,0,8762,202421,8762
2018-06-03,0,0,8762,211103,8762
2018-06-04,471,382,8851,219761,9233
2018-06-05,661,606,8906,215751,9512
2018-06-06,628,427,9107,214265,9534
2018-06-07,575,333,9349,212340,9682
2018-06-08,700,449,9600,214985,10049
2018-06-09,5,0,9605,217359,9605
2018-06-10,1,0,9606,226867,9606
2018-06-11,421,474,9553,236240,10027
2018-06-12,515,822,9246,236825,10068
2018-06-13,1011,781,9476,232463,10257
2018-06-14,531,576,9431,232165,10007
2018-06-15,620,376,9675,229920,10051
2018-06-16,9,0,9684,232958,9684
2018-06-17,0,0,9684,242558,9684
2018-06-18,598,610,9672,251951,10282
2018-06-19,713,367,10018,245167,10385
2018-06-20,745,434,10329,253051,10763
2018-06-21,528,519,10338,254636,10857
2018-06-22,525,550,10313,252097,10863
2018-06-23,7,438,9882,255481,10320
2018-06-24,0,0,9882,260718,9882
2018-06-25,661,487,10056,270508,10543
2018-06-26,660,368,10348,267699,10716
2018-06-27,654,477,10525,269534,11002
2018-06-28,455,693,10287,269244,10980
2018-06-29,643,599,10331,266843,10930
2018-06-30,248,257,10322,263520,10579
2018-07-01,2,0,10324,272633,10324
2018-07-02,561,122,10763,283042,10885
2018-07-03,484,354,10893,291896,11247
2018-07-04,742,560,11075,295462,11635
2018-07-05,723,439,11359,295093,11798
2018-07-06,585,488,11456,291233,11944
2018-07-07,2,517,10941,292063,11458
2018-07-08,8,0,10949,299035,10949
2018-07-09,468,393,11024,309878,11417
2018-07-10,483,645,10862,314608,11507
2018-07-11,470,714,10618,296303,11332
2018-07-12,483,472,10629,289207,11101
2018-07-13,550,659,10520,291602,11179
2018-07-14,8,0,10528,279518,10528
2018-07-15,10,0,10538,289952,10538
2018-07-16,495,551,10482,300241,11033
2018-07-17,662,804,10340,289162,11144
2018-07-18,494,804,10030,273647,10834
2018-07-19,562,362,10230,260324,10592
2018-07-20,866,460,10636,260578,11096
2018-07-21,8,11,10633,253294,10644
2018-07-22,1,0,10634,263757,10634
2018-07-23,451,745,10340,274103,11085
2018-07-24,599,595,10344,272574,10939
2018-07-25,490,460,10374,269140,10834
2018-07-26,335,1143,9566,270031,10709
2018-07-27,854,532,9888,256606,10420
2018-07-28,44,0,9932,250225,9932
2018-07-29,1,0,9933,260097,9933
2018-07-30,505,468,9970,269790,10438
2018-07-31,801,676,10095,268405,10771
2018-08-01,488,846,9737,266673,10583
2018-08-02,379,498,9618,261839,10116
2018-08-03,368,511,9475,262533,9986
2018-08-04,0,0,9475,261030,9475
2018-08-05,0,0,9475,270426,9475
2018-08-06,395,705,9165,279609,9870
2018-08-07,666,579,9252,270635,9831
2018-08-08,405,259,9398,267561,9657
2018-08-09,392,621,9169,266008,9790
2018-08-10,333,587,8915,266525,9502
