date,tokenproduced,tokenconsumed,tokenleft,WaitingTime,Count
2000-03-22,3,0,3,62 days 21:00:00,3
2000-03-23,0,0,3,62 days 21:00:00,3
2000-03-24,0,0,3,62 days 21:00:00,3
2000-03-25,0,0,3,62 days 21:00:00,3
2000-03-26,0,0,3,62 days 21:00:00,3
2000-03-27,0,0,3,62 days 21:00:00,3
2000-03-28,0,0,3,62 days 21:00:00,3
2000-03-29,0,0,3,62 days 21:00:00,3
2000-03-30,0,0,3,62 days 21:00:00,3
2000-03-31,0,0,3,62 days 21:00:00,3
2000-04-01,0,0,3,62 days 21:00:00,3
2000-04-02,0,1,2,62 days 21:00:00,3
2000-04-03,0,0,2,51 days 22:00:00,2
2000-04-04,0,0,2,51 days 22:00:00,2
2000-04-05,0,0,2,51 days 22:00:00,2
2000-04-06,0,0,2,51 days 22:00:00,2
2000-04-07,0,0,2,51 days 22:00:00,2
2000-04-08,0,0,2,51 days 22:00:00,2
2000-04-09,0,0,2,51 days 22:00:00,2
2000-04-10,0,0,2,51 days 22:00:00,2
2000-04-11,0,0,2,51 days 22:00:00,2
2000-04-12,0,0,2,51 days 22:00:00,2
2000-04-13,0,0,2,51 days 22:00:00,2
2000-04-14,0,0,2,51 days 22:00:00,2
2000-04-15,0,0,2,51 days 22:00:00,2
2000-04-16,0,1,1,51 days 22:00:00,2
2000-04-17,0,0,1,26 days 23:00:00,1
2000-04-18,0,1,0,26 days 23:00:00,1
2000-04-19,0,0,0,,0
2000-04-20,0,0,0,,0
2000-04-21,0,0,0,,0
2000-04-22,0,0,0,,0
2000-04-23,0,0,0,,0
2000-04-24,0,0,0,,0
2000-04-25,0,0,0,,0
2000-04-26,0,0,0,,0
2000-04-27,0,0,0,,0
2000-04-28,0,0,0,,0
2000-04-29,0,0,0,,0
2000-04-30,0,0,0,,0
2000-05-01,0,0,0,,0
2000-05-02,0,0,0,,0
2000-05-03,0,0,0,,0
2000-05-04,0,0,0,,0
2000-05-05,0,0,0,,0
2000-05-06,0,0,0,,0
2000-05-07,0,0,0,,0
2000-05-08,0,0,0,,0
2000-05-09,0,0,0,,0
2000-05-10,0,0,0,,0
2000-05-11,0,0,0,,0
2000-05-12,0,0,0,,0
2000-05-13,0,0,0,,0
2000-05-14,0,0,0,,0
2000-05-15,0,0,0,,0
2000-05-16,1,0,1,34 days 00:00:00,1
2000-05-17,0,0,1,34 days 00:00:00,1
2000-05-18,0,0,1,34 days 00:00:00,1
2000-05-19,0,0,1,34 days 00:00:00,1
2000-05-20,0,0,1,34 days 00:00:00,1
2000-05-21,1,0,2,357 days 00:00:00,2
2000-05-22,1,0,3,679 days 00:00:00,3
2000-05-23,0,0,3,679 days 00:00:00,3
2000-05-24,0,0,3,679 days 00:00:00,3
2000-05-25,1,0,4,998 days 00:00:00,4
2000-05-26,0,0,4,998 days 00:00:00,4
2000-05-27,0,0,4,998 days 00:00:00,4
2000-05-28,0,0,4,998 days 00:00:00,4
2000-05-29,1,0,5,1313 days 00:00:00,5
2000-05-30,0,0,5,1313 days 00:00:00,5
2000-05-31,0,0,5,1313 days 00:00:00,5
2000-06-01,1,0,6,1990 days 00:00:00,6
2000-06-02,0,0,6,1990 days 00:00:00,6
2000-06-03,0,0,6,1990 days 00:00:00,6
2000-06-04,0,0,6,1990 days 00:00:00,6
2000-06-05,0,0,6,1990 days 00:00:00,6
2000-06-06,0,0,6,1990 days 00:00:00,6
2000-06-07,0,0,6,1990 days 00:00:00,6
2000-06-08,1,0,7,2660 days 00:00:00,7
2000-06-09,0,0,7,2660 days 00:00:00,7
2000-06-10,0,0,7,2660 days 00:00:00,7
2000-06-11,0,0,7,2660 days 00:00:00,7
2000-06-12,0,0,7,2660 days 00:00:00,7
2000-06-13,2,0,9,3990 days 00:00:00,9
2000-06-14,0,0,9,3990 days 00:00:00,9
2000-06-15,2,0,11,5316 days 00:00:00,11
2000-06-16,0,0,11,5316 days 00:00:00,11
2000-06-17,0,0,11,5316 days 00:00:00,11
