date,tokenproduced,tokenconsumed,tokenleft,WaitingTime,Count
2018-01-05,1,0,1,0 days 11:38:00,1
2018-01-06,0,0,1,1 days 11:38:00,1
2018-01-07,0,0,1,2 days 11:38:00,1
2018-01-08,2,2,1,3 days 09:55:00,3
2018-01-09,1,1,1,0 days 23:23:00,2
2018-01-10,2,1,2,1 days 10:57:00,3
2018-01-11,2,2,2,3 days 05:46:00,4
2018-01-12,2,1,3,3 days 10:36:00,4
2018-01-13,0,0,3,4 days 23:53:00,3
2018-01-14,0,0,3,7 days 23:53:00,3
2018-01-15,2,0,5,11 days 01:55:00,5
2018-01-16,5,2,8,17 days 03:37:00,10
2018-01-17,4,0,12,24 days 09:41:00,12
2018-01-18,2,2,12,36 days 04:38:00,14
2018-01-19,2,0,14,46 days 19:25:00,14
2018-01-20,0,0,14,60 days 19:25:00,14
2018-01-21,0,0,14,74 days 19:25:00,14
2018-01-22,2,4,12,87 days 13:48:00,16
2018-01-23,2,3,11,80 days 16:19:00,14
2018-01-24,1,3,9,61 days 15:00:00,12
2018-01-25,3,0,12,61 days 04:57:00,12
2018-01-26,1,1,12,72 days 19:24:00,13
2018-01-27,1,0,13,80 days 17:13:00,13
2018-01-28,0,0,13,93 days 17:13:00,13
2018-01-29,2,1,14,107 days 07:49:00,15
2018-01-30,7,2,19,124 days 08:08:00,21
2018-01-31,12,1,30,145 days 10:34:00,31
2018-02-01,5,6,29,168 days 12:43:00,35
2018-02-02,4,2,31,170 days 23:53:00,33
2018-02-03,0,0,31,178 days 08:26:00,31
2018-02-04,0,0,31,209 days 08:26:00,31
2018-02-05,5,4,32,239 days 18:04:00,36
2018-02-06,2,1,33,248 days 03:59:00,34
2018-02-07,5,6,32,273 days 07:55:00,38
2018-02-08,3,1,34,247 days 01:01:00,35
2018-02-09,3,2,35,252 days 08:03:00,37
2018-02-10,0,4,31,282 days 10:32:00,35
2018-02-11,0,0,31,273 days 00:00:00,31
2018-02-12,2,3,30,302 days 22:49:00,33
2018-02-13,5,2,33,283 days 19:50:00,35
2018-02-14,4,1,36,291 days 06:11:00,37
2018-02-15,2,3,35,324 days 15:15:00,38
2018-02-16,4,6,33,342 days 01:43:00,39
2018-02-17,0,5,28,323 days 07:26:00,33
2018-02-18,0,0,28,325 days 17:26:00,28
2018-02-19,9,1,36,357 days 19:07:00,37
2018-02-20,5,1,40,376 days 14:23:00,41
2018-02-21,2,8,34,408 days 12:39:00,42
2018-02-22,6,5,35,380 days 15:11:00,40
2018-02-23,6,4,37,368 days 17:27:00,41
2018-02-24,0,4,33,382 days 15:10:00,37
2018-02-25,0,0,33,405 days 04:25:00,33
2018-02-26,7,0,40,439 days 13:27:00,40
2018-02-27,6,5,41,479 days 08:27:00,46
2018-02-28,11,3,49,512 days 16:14:00,52
2018-03-01,7,3,53,533 days 14:29:00,56
2018-03-02,8,0,61,586 days 16:58:00,61
2018-03-03,0,0,61,647 days 16:58:00,61
2018-03-04,0,0,61,708 days 16:58:00,61
2018-03-05,2,1,62,770 days 11:47:00,63
2018-03-06,4,7,59,819 days 20:09:00,66
2018-03-07,4,7,56,840 days 09:21:00,63
2018-03-08,5,3,58,830 days 03:25:00,61
2018-03-09,7,2,63,822 days 13:43:00,65
2018-03-10,0,12,51,863 days 13:18:00,63
2018-03-11,0,0,51,783 days 20:11:00,51
2018-03-12,3,3,51,834 days 19:30:00,54
2018-03-13,5,4,52,792 days 23:44:00,56
2018-03-14,5,9,48,768 days 00:50:00,57
2018-03-15,9,4,53,741 days 18:55:00,57
2018-03-16,8,4,57,711 days 15:33:00,61
2018-03-17,0,2,55,745 days 16:57:00,57
2018-03-18,0,0,55,786 days 00:16:00,55
2018-03-19,1,1,55,841 days 08:14:00,56
2018-03-20,4,8,51,884 days 22:28:00,59
2018-03-21,2,3,50,834 days 22:14:00,53
2018-03-22,5,12,43,830 days 12:02:00,55
2018-03-23,2,8,37,718 days 13:43:00,45
2018-03-24,0,2,35,705 days 20:50:00,37
2018-03-25,0,0,35,724 days 00:49:00,35
2018-03-26,3,3,35,759 days 09:22:00,38
2018-03-27,3,2,36,738 days 15:45:00,38
2018-03-28,5,3,38,755 days 05:54:00,41
2018-03-29,6,1,43,793 days 12:37:00,44
2018-03-30,5,3,45,830 days 06:45:00,48
2018-03-31,0,0,45,866 days 15:08:00,45
2018-04-01,0,0,45,911 days 15:08:00,45
2018-04-02,0,0,45,956 days 15:08:00,45
2018-04-03,4,7,42,999 days 00:11:00,49
2018-04-04,1,2,41,896 days 01:31:00,43
2018-04-05,7,1,47,929 days 23:45:00,48
2018-04-06,4,3,48,971 days 07:20:00,51
2018-04-07,0,0,48,998 days 23:52:00,48
2018-04-08,0,0,48,1046 days 23:52:00,48
2018-04-09,4,2,50,1094 days 22:34:00,52
2018-04-10,7,5,52,1142 days 08:25:00,57
2018-04-11,3,5,50,1098 days 11:14:00,55
2018-04-12,4,1,53,1130 days 07:06:00,54
2018-04-13,5,3,55,1181 days 21:42:00,58
2018-04-14,0,0,55,1225 days 05:37:00,55
2018-04-15,0,0,55,1280 days 05:37:00,55
2018-04-16,3,3,55,1334 days 10:46:00,58
2018-04-17,4,9,50,1357 days 00:56:00,59
2018-04-18,4,3,51,1243 days 11:11:00,54
2018-04-19,5,5,51,1198 days 16:29:00,56
2018-04-20,4,6,49,1231 days 06:02:00,55
2018-04-21,0,0,49,1098 days 22:29:00,49
2018-04-22,0,0,49,1147 days 22:29:00,49
2018-04-23,5,5,49,1196 days 20:08:00,54
2018-04-24,8,6,51,1126 days 06:19:00,57
2018-04-25,1,7,45,1130 days 19:02:00,52
2018-04-26,6,1,50,1094 days 12:21:00,51
