date,tokenproduced,tokenconsumed,tokenleft,oneframetoken,TimeSpent,Count
2020-01-22,77,51,26,51,13 days 13:00:00,77
2020-01-23,83,91,18,65,20 days 12:00:00,109
2020-01-24,86,88,16,70,19 days 23:00:00,104
2020-01-25,84,89,11,73,19 days 18:30:00,100
2020-01-26,82,76,17,65,17 days 06:30:00,93
2020-01-27,86,86,17,69,19 days 18:30:00,103
2020-01-28,152,137,32,120,32 days 01:00:00,169
2020-01-29,189,186,35,154,42 days 15:30:00,221
2020-01-30,216,200,51,165,46 days 14:30:00,251
2020-01-31,220,213,58,162,50 days 15:00:00,271
2020-02-01,205,219,44,161,50 days 23:00:00,263
2020-02-02,258,240,62,196,56 days 00:00:00,302
2020-02-03,207,229,40,167,52 days 00:00:00,269
2020-02-04,129,146,23,106,32 days 10:30:00,169
2020-02-05,95,101,17,78,22 days 01:30:00,118
2020-02-06,80,81,16,64,18 days 18:00:00,97
2020-02-07,83,83,16,67,18 days 21:00:00,99
2020-02-08,89,90,15,74,20 days 04:30:00,105
2020-02-09,96,80,31,65,19 days 23:30:00,111
2020-02-10,90,95,26,64,22 days 14:00:00,121
2020-02-11,37,63,0,37,13 days 03:00:00,63
2020-02-12,9,8,1,8,1 days 20:30:00,9
2020-02-13,9,7,3,6,1 days 18:30:00,10
2020-02-14,9,11,1,8,2 days 11:30:00,12
2020-02-15,9,9,1,8,1 days 22:30:00,10
2020-02-16,8,7,2,6,1 days 18:00:00,9
2020-02-17,13,13,2,11,3 days 00:00:00,15
2020-02-18,5,4,3,2,1 days 06:30:00,7
2020-02-19,4,7,0,4,1 days 11:00:00,7
2020-02-20,0,0,0,0,0:00:00,0
