date,tokenproduced,tokenconsumed,tokenleft,oneframetoken,TimeSpent,Count
2020-01-22,120,117,3,117,4 days 22:30:00,120
2020-01-23,81,78,6,75,3 days 09:00:00,84
2020-01-24,103,105,4,99,4 days 11:00:00,109
2020-01-25,100,100,4,96,4 days 06:00:00,104
2020-01-26,89,87,6,83,3 days 18:00:00,93
2020-01-27,97,100,3,94,4 days 05:30:00,103
2020-01-28,194,175,22,172,23 days 06:00:00,197
2020-01-29,202,194,30,172,26 days 07:00:00,224
2020-01-30,196,208,18,178,27 days 05:00:00,226
2020-01-31,224,216,26,198,28 days 21:00:00,242
2020-02-01,182,176,32,150,24 days 00:00:00,208
2020-02-02,242,256,18,224,33 days 01:00:00,274
2020-02-03,172,166,24,148,22 days 18:00:00,190
2020-02-04,110,131,3,107,8 days 04:30:00,134
2020-02-05,101,98,6,95,4 days 05:00:00,104
2020-02-06,88,93,1,87,3 days 21:30:00,94
2020-02-07,92,91,2,90,3 days 20:00:00,93
2020-02-08,96,93,5,91,3 days 23:30:00,98
2020-02-09,109,111,3,106,4 days 16:30:00,114
2020-02-10,109,107,5,104,4 days 13:30:00,112
2020-02-11,3,8,0,3,0 days 08:00:00,8
2020-02-12,0,0,0,0,0:00:00,0
